accuracy,balanced_accuracy,precision,recall,f1_score,false_positive_rate,roc_auc,pr_auc,confusion_matrix,confusion_matrix_labels,threshold_percentile,threshold,model,seed
0.9000426181766523,0.7431954878344607,0.3014037985136251,0.5660669975186104,0.3933613535941373,0.07967602184968921,0.7287326065527567,0.21781545725287688,"[[48860, 4230], [1399, 1825]]","['Normal (0)', 'Attack (1)']",92,29.278838882446763,stacked_autoencoder,21
0.9097027382178499,0.6046893483933599,0.23707261938400678,0.26023573200992556,0.24811474197841193,0.05085703522320588,0.7287326065527567,0.21781545725287688,"[[50390, 2700], [2385, 839]]","['Normal (0)', 'Attack (1)']",95,448.8169250488279,stacked_autoencoder,21
0.9285612813865114,0.6097384900961755,0.33416355334163556,0.24968982630272954,0.28581572874134564,0.030212846110378604,0.7287326065527567,0.21781545725287688,"[[51486, 1604], [2419, 805]]","['Normal (0)', 'Attack (1)']",97,658.8578039550749,stacked_autoencoder,21
0.9331604929502433,0.49768200518151906,0.0328719723183391,0.005893300248138958,0.009994739610731194,0.010529289885100773,0.7287326065527567,0.21781545725287688,"[[52531, 559], [3205, 19]]","['Normal (0)', 'Attack (1)']",99,2136.7239404296843,stacked_autoencoder,21
0.7903896011648969,0.7001890896913197,0.15508924264351182,0.5983250620347395,0.2463286936534287,0.1979468826521002,0.7212200290064112,0.1768488940524201,"[[42581, 10509], [1295, 1929]]","['Normal (0)', 'Attack (1)']",80,0.40612845420837457,stacked_autoencoder,100
0.8362574137869802,0.7183976119488092,0.19312250537304268,0.5852977667493796,0.29041939207387457,0.14850254285176115,0.7212200290064112,0.1768488940524201,"[[45206, 7884], [1337, 1887]]","['Normal (0)', 'Attack (1)']",85,0.9281237125396727,stacked_autoencoder,100
0.8826757111908229,0.7310713360943797,0.2581152581152581,0.559863523573201,0.35333268082607416,0.09772085138444152,0.7212200290064112,0.1768488940524201,"[[47902, 5188], [1419, 1805]]","['Normal (0)', 'Attack (1)']",90,16.270246887207033,stacked_autoencoder,100
0.9004510423695706,0.740353054670495,0.3011686143572621,0.5595533498759305,0.3915780334273931,0.07884724053494066,0.7212200290064112,0.1768488940524201,"[[48904, 4186], [1420, 1804]]","['Normal (0)', 'Attack (1)']",92,23.009783935546995,stacked_autoencoder,100
0.9110523138118407,0.5972476568419095,0.23366159355416294,0.24286600496277916,0.23817490494296578,0.04837069127896026,0.7212200290064112,0.1768488940524201,"[[50522, 2568], [2441, 783]]","['Normal (0)', 'Attack (1)']",95,961.3377136229982,stacked_autoencoder,100
0.9162730404517526,0.4895995294754401,0.016223231667748216,0.007754342431761787,0.01049317943336831,0.028555283480881523,0.7212200290064112,0.1768488940524201,"[[51574, 1516], [3199, 25]]","['Normal (0)', 'Attack (1)']",97,2643.470644531249,stacked_autoencoder,100
